gene	p_val	avg_diff	pct.1	pct.2	CellType	Exp	Exp+
Adam10	7.41878E-49	1.242640611	0.408	0.056	Endothelial	1.494112122	2.24842227
Fnbp1l	1.25198E-48	1.066021954	0.469	0.238	Endothelial	1.611295291	2.255872642
Col13a1	3.66972E-48	0.88300424	0.24	0.008	Endothelial	0.919316121	1.984542623
Syne1	1.73881E-47	0.966399589	0.274	0.023	Endothelial	1.053145247	2.056556508
Itga6	1.82586E-47	0.965244609	0.279	0.02	Endothelial	1.042788485	2.025101474
Rtp4	4.86002E-47	0.713472829	0.218	0.005	Endothelial	0.738862892	1.794942807
Rassf3	6.82753E-47	0.837269747	0.223	0.007	Endothelial	0.865734011	1.96864353
Notch1	6.91773E-47	0.857553718	0.223	0.007	Endothelial	0.887728381	2.001139264
Crim1	9.38962E-47	0.981585887	0.263	0.017	Endothelial	1.046663864	2.084259424
Gm11942	2.36449E-46	1.306497299	0.441	0.212	Endothelial	2.078078699	2.823523765
Atp2b4	3.26007E-46	1.061218968	0.43	0.182	Endothelial	1.499693267	2.207241074
Bmpr2	5.30085E-46	1.038806022	0.335	0.03	Endothelial	1.163544834	2.023809334
Trim47	2.17035E-44	0.95220675	0.285	0.019	Endothelial	1.043679672	2.0091263
Fam198b	1.30706E-43	1.059373236	0.352	0.093	Endothelial	1.315585366	2.168819336
2900026A02Rik	2.13292E-43	0.839854042	0.246	0.015	Endothelial	0.894087938	1.928465822
Ccdc85b	4.27355E-41	0.892944561	0.235	0.013	Endothelial	0.946286468	2.043464061
Hdac7	9.44599E-41	0.836207958	0.223	0.012	Endothelial	0.876114254	1.98402243
Map7d1	4.33807E-40	1.032248196	0.296	0.039	Endothelial	1.177636666	2.150352451
Mllt4	6.16923E-40	0.93797912	0.43	0.183	Endothelial	1.41851932	2.113668633
Cobll1	1.33246E-39	0.819569072	0.229	0.016	Endothelial	0.873268857	1.958568268
Ifi35	3.64469E-38	0.698796624	0.223	0.011	Endothelial	0.746407409	1.785842241
Tgfbr2	5.10983E-38	0.827388815	0.223	0.012	Endothelial	0.878645129	1.987760462
Vwa1	2.34518E-37	0.861191641	0.257	0.031	Endothelial	0.959253561	1.982933165
Dpysl2	3.47034E-37	0.881933594	0.24	0.02	Endothelial	0.952736197	2.032149381
St3gal6	2.71497E-36	0.923516822	0.341	0.064	Endothelial	1.1285772	1.965241224
Tnfrsf1a	1.30149E-35	0.990840923	0.263	0.026	Endothelial	1.100539098	2.156293471
Ctnnbip1	5.90693E-35	0.84179138	0.279	0.029	Endothelial	0.96259467	1.916064113
Ttc28	7.75598E-34	0.756454728	0.257	0.056	Endothelial	0.8722529	1.859081799
Stat2	3.106E-33	0.801548787	0.223	0.021	Endothelial	0.870064129	1.975068189
Ddit4	6.75244E-33	0.896680702	0.274	0.029	Endothelial	1.029702356	2.025032687
Nmi	1.30223E-32	0.752092529	0.229	0.019	Endothelial	0.822872526	1.883325026
Adgrg1	6.69786E-32	0.743420734	0.229	0.023	Endothelial	0.829406321	1.893186965
Cd99l2	2.87961E-31	0.816603808	0.246	0.024	Endothelial	0.920303691	1.966156424
Tnfaip1	9.43499E-30	0.782976354	0.274	0.071	Endothelial	0.958546354	1.927712309
Epn2	3.78419E-29	0.829748536	0.346	0.144	Endothelial	1.174217016	2.008806898
Hif1a	7.47866E-28	0.874472502	0.251	0.033	Endothelial	1.024019069	2.091592284
Cnot6l	2.9452E-27	0.772839356	0.291	0.065	Endothelial	0.990153995	1.920325077
Ifnar1	9.66427E-27	0.79557466	0.268	0.053	Endothelial	0.965840949	1.955484012
Trio	1.86253E-25	0.706852971	0.246	0.045	Endothelial	0.848461146	1.8617971
Hprt	3.92904E-21	0.71993307	0.263	0.047	Endothelial	0.932368406	1.926739438
Tagln	1.0771E-105	3.426093661	0.755	0.008	Myoid	3.452651606	3.72576992
Aspn	2.29296E-90	2.460502916	0.714	0.003	Myoid	2.472091326	2.784151381
Myh11	9.27975E-86	3.435446169	0.714	0.012	Myoid	3.496381331	3.824156758
Acta2	2.29624E-85	3.703172024	0.592	0.016	Myoid	3.765138905	4.280163537
Filip1l	1.2108E-84	2.632725366	0.673	0.036	Myoid	2.716041565	3.089522269
Tpm2	1.2756E-76	3.229811762	0.612	0.015	Myoid	3.304595499	3.780880047
Rgs4	9.82424E-73	2.275464044	0.673	0.004	Myoid	2.298855857	2.6608444
Olfr558	1.52346E-61	1.930047472	0.469	0.001	Myoid	1.932738608	2.609147964
Higd1b	1.45568E-56	2.320167075	0.469	0.001	Myoid	2.327582915	3.030770579
Gucy1b3	1.46117E-55	1.959229174	0.51	0.005	Myoid	1.976295628	2.578949898
Mgst3	1.26243E-53	1.707693086	0.429	0.106	Myoid	1.884384938	2.640868372
Gja4	1.10927E-52	2.131857456	0.49	0.002	Myoid	2.145917954	2.798155993
Rasl11a	4.48063E-51	2.251205969	0.531	0.007	Myoid	2.291100741	2.876179335
Palld	5.52313E-49	1.850039568	0.367	0.073	Myoid	1.96849292	2.877430398
Pdgfrb	1.08439E-48	1.876368818	0.429	0.003	Myoid	1.889660506	2.64664402
Ace2	1.06394E-47	1.953356863	0.408	0.001	Myoid	1.959811482	2.768836232
Casq2	1.42858E-43	1.812353842	0.429	0.002	Myoid	1.826003658	2.576755427
Myo1b	1.01447E-41	2.095903811	0.531	0.024	Myoid	2.21111103	2.792029866
Gm13889	1.48705E-41	1.428526548	0.347	0.038	Myoid	1.484798017	2.383295165
Actn1	2.63238E-39	1.696843142	0.408	0.03	Myoid	1.771283183	2.561254799
Fabp4	6.39055E-37	2.175427805	0.347	0.003	Myoid	2.192039408	3.174909821
Tinagl1	1.26093E-36	1.523309439	0.388	0.004	Myoid	1.54172511	2.348662626
Pde3a	1.37592E-36	1.809720846	0.306	0.005	Myoid	1.825535218	2.890740845
Sept4	6.65516E-36	1.589431072	0.449	0.154	Myoid	1.933765949	2.651511052
Notch3	4.48673E-35	1.365377669	0.327	0.001	Myoid	1.370564686	2.302216928
Ednrb	4.86304E-35	1.900933829	0.327	0.002	Myoid	1.911275158	2.925589987
Map3k7cl	9.8798E-35	1.358435495	0.224	0.02	Myoid	1.389489358	2.668661654
Cox4i2	6.0092E-34	1.443980127	0.306	0.001	Myoid	1.448369186	2.454173773
Des	1.04038E-32	1.570851402	0.367	0.008	Myoid	1.606446302	2.47217854
Gpc6	1.09955E-32	1.343919164	0.286	0.002	Myoid	1.351240414	2.399507297
Zak	1.6949E-31	1.498981716	0.327	0.031	Myoid	1.560010259	2.526651385
Itga1	1.74169E-31	1.406483129	0.327	0.098	Myoid	1.579802339	2.549668863
Npy1r	2.80864E-30	1.407320484	0.265	0.001	Myoid	1.411846761	2.541437265
Serpine2	9.15352E-29	1.616490101	0.449	0.024	Myoid	1.730414046	2.428442531
Abcc9	1.24066E-28	1.664230875	0.286	0.007	Myoid	1.685348619	2.796070791
Gjc1	2.13903E-28	1.529459358	0.408	0.078	Myoid	1.7295325	2.514719702
Lhfp	1.02157E-27	1.689088037	0.408	0.021	Myoid	1.784493044	2.575932719
Rcan2	3.05612E-27	1.533089135	0.245	0.002	Myoid	1.540996314	2.77150876
Steap4	5.64265E-27	1.416266954	0.245	0.008	Myoid	1.434973847	2.643672992
Trpc6	8.18244E-27	1.250873558	0.224	0.001	Myoid	1.252842826	2.496308792
Kcnj8	3.21291E-26	1.844010721	0.245	0.001	Myoid	1.851878187	3.132653257
Tspan15	1.60467E-25	1.180618459	0.306	0.01	Myoid	1.215002616	2.168252169
Rrad	3.37913E-25	1.373087082	0.245	0.002	Myoid	1.37989835	2.576107275
Atf3	5.29133E-25	2.183418284	0.327	0.009	Myoid	2.257013918	3.303150983
Cpm	7.42074E-25	1.302790319	0.224	0.003	Myoid	1.310387269	2.569643599
Serpini1	4.28999E-24	1.406294118	0.347	0.015	Myoid	1.463997364	2.35883819
Pde5a	4.29146E-24	1.36492596	0.286	0.012	Myoid	1.404350456	2.464285597
Gadd45b	1.13894E-23	1.919028957	0.306	0.043	Myoid	2.087328982	3.181116088
Thsd4	3.62932E-23	1.103276035	0.224	0.011	Myoid	1.124425888	2.328111055
Fbxo32	5.08781E-23	1.548965308	0.265	0.007	Myoid	1.583788852	2.747250625
Mustn1	8.61482E-23	1.655709856	0.245	0.014	Myoid	1.728776269	2.991782897
4930523C07Rik	8.87248E-23	1.364296143	0.367	0.127	Myoid	1.718198563	2.599183091
Rasgrp2	2.08972E-22	1.576584918	0.347	0.027	Myoid	1.685987002	2.615638257
Tbx3	2.77116E-22	1.248635375	0.245	0.004	Myoid	1.265277482	2.432587426
Ifngr2	6.05631E-21	1.431383243	0.469	0.099	Myoid	1.743253503	2.402153336
Pi15	7.60831E-21	1.090871082	0.204	0.002	Myoid	1.100512753	2.382131991
Prrx1	8.65121E-21	1.346981363	0.327	0.016	Myoid	1.42194853	2.363881787
Heyl	1.86591E-20	0.844425291	0.204	0.002	Myoid	0.849878031	2.023250929
Cspg4	2.15972E-20	1.406017542	0.265	0.009	Myoid	1.441970155	2.578011325
Lims1	2.56544E-20	1.323396436	0.388	0.116	Myoid	1.596619853	2.411579289
Nes	2.815E-20	1.54119978	0.286	0.011	Myoid	1.597456834	2.694058245
Tnfrsf21	9.3365E-20	1.277476599	0.245	0.01	Myoid	1.311872045	2.491432521
Sh3bgr	4.41848E-19	1.514431262	0.224	0.009	Myoid	1.552448283	2.867009804
Pbxip1	5.81576E-19	1.16267199	0.306	0.07	Myoid	1.341844027	2.325510478
Vtn	9.38227E-19	1.30188686	0.224	0.006	Myoid	1.324268541	2.587164329
Mcam	2.65501E-18	1.278091034	0.265	0.013	Myoid	1.337253934	2.449810464
Mapre2	2.73102E-17	1.312614515	0.306	0.031	Myoid	1.42497283	2.426155786
Ano1	2.89747E-17	1.541987576	0.286	0.03	Myoid	1.654571362	2.760511749
S1pr3	3.68077E-17	1.16526194	0.265	0.02	Myoid	1.228287115	2.312941622
Cebpb	2.21956E-16	1.251099689	0.245	0.014	Myoid	1.311547432	2.491025026
Nr4a2	3.40877E-16	1.217162875	0.224	0.006	Myoid	1.24423909	2.48524271
Msrb1	3.45541E-16	1.36237664	0.286	0.031	Myoid	1.490936499	2.568357758
Nrarp	8.74817E-16	1.094380855	0.224	0.016	Myoid	1.143734426	2.353838689
Sema5a	1.03089E-15	1.059668297	0.245	0.015	Myoid	1.110477198	2.231398117
Nexn	1.26736E-15	1.535648497	0.306	0.061	Myoid	1.78046817	2.839854104
Slc7a2	2.13821E-15	0.915674673	0.245	0.014	Myoid	0.955806358	2.019753211
Nrep	6.1544E-15	1.004064238	0.245	0.021	Myoid	1.075511633	2.184581338
Lmna	3.87136E-14	1.08326373	0.286	0.085	Myoid	1.262686151	2.28971909
Fblim1	4.25552E-14	1.035266787	0.245	0.017	Myoid	1.10078337	2.218474012
Pawr	2.05085E-13	1.130383006	0.224	0.019	Myoid	1.21122781	2.442525885
Hlf	1.01373E-12	1.157470107	0.224	0.015	Myoid	1.225996408	2.461687848
Arhgap1	1.5286E-12	0.910910345	0.245	0.032	Myoid	1.006210509	2.090068185
Mnd1	2.01691E-12	1.105722579	0.224	0.019	Myoid	1.164508553	2.381337783
Fez2	3.28803E-12	1.207642649	0.245	0.025	Myoid	1.317138275	2.498038646
Plat	5.59634E-12	0.97353107	0.224	0.011	Myoid	1.030030184	2.199810814
Cyp17a1	0	4.596841585	0.892	0.008	Leydig	4.634917685	4.748469448
Insl3	0	4.157250019	0.92	0.009	Leydig	4.201457431	4.283230841
Cyp11a1	0	3.649143631	0.866	0.005	Leydig	3.668339923	3.808511662
Hsd3b1	0	3.504224232	0.745	0.002	Leydig	3.515297141	3.801763355
Hsd3b6	0	3.347017043	0.691	0.003	Leydig	3.366058327	3.724831167
Klk1b21	0	2.708146122	0.618	0.006	Leydig	2.72883311	3.185097645
Bhmt	0	2.672060973	0.685	0.011	Leydig	2.752631067	3.111078578
Klk1b24	0	2.609824741	0.627	0.003	Leydig	2.626933343	3.065813324
Sult1e1	0	2.598801187	0.656	0.001	Leydig	2.601824959	2.997511275
Star	0	2.472384407	0.707	0.016	Leydig	2.547093195	2.87059746
Ephx1	0	2.425336646	0.809	0.018	Leydig	2.510935311	2.707357976
Pld3	0	2.259615862	0.825	0.051	Leydig	2.397864453	2.574377169
Ces1d	0	2.176450928	0.659	0.002	Leydig	2.184013314	2.561565902
1110008P14Rik	0	2.160440831	0.828	0.072	Leydig	2.414584448	2.587801084
Fdx1	0	2.157938963	0.895	0.344	Leydig	2.880381866	2.985505464
Hsd17b3	0	2.148790026	0.672	0.001	Leydig	2.155861592	2.514669694
Dbi	0	2.14139404	0.943	0.331	Leydig	3.085981501	3.142392702
Pank1	0	2.049357374	0.771	0.091	Leydig	2.248812516	2.484773535
Me1	0	2.02674594	0.939	0.42	Leydig	2.959058217	3.018332417
Lipg	0	1.99697177	0.624	0.041	Leydig	2.06892533	2.491568802
Alas1	0	1.97959157	0.736	0.19	Leydig	2.353352745	2.634882339
Folr1	0	1.932661322	0.707	0.017	Leydig	2.011855093	2.318597229
Cox6a1	0	1.896178717	0.975	0.563	Leydig	3.383136408	3.408079183
Gpt2	2.12398821147152e-320	1.927024699	0.666	0.012	Leydig	1.983768238	2.343739559
Apoc1	1.05536665975588e-316	2.473536969	0.608	0.01	Leydig	2.521445464	2.986587041
Msmo1	4.4955E-303	1.971029173	0.688	0.023	Leydig	2.062360267	2.395981078
Mrap	4.1411E-297	1.395740157	0.519	0.003	Leydig	1.403677043	1.933585172
Klk1b27	2.8525E-288	2.394206776	0.471	0.002	Leydig	2.400322352	3.103371941
Hao2	1.7634E-285	1.204600058	0.455	0.001	Leydig	1.206468329	1.815122995
Fam213a	7.5484E-272	1.772640577	0.844	0.328	Leydig	2.632421333	2.790800355
Lhcgr	6.5743E-270	1.427378339	0.478	0.002	Leydig	1.436085592	2.042190307
Itih2	4.4567E-265	1.391963479	0.516	0.006	Leydig	1.408800052	1.9446639
Atp5g3	1.3222E-261	1.719706151	0.854	0.275	Leydig	2.420833222	2.566137894
Amy1	2.9271E-249	1.643118403	0.567	0.016	Leydig	1.697323757	2.18227294
Klk1	3.7042E-248	3.646014398	0.274	0.031	Leydig	3.756510883	5.034445248
Pon3	2.4351E-245	1.428325057	0.551	0.01	Leydig	1.468934449	1.955938499
Fads1	2.0327E-244	1.551817301	0.596	0.018	Leydig	1.621871046	2.056890963
Spon1	2.2793E-238	1.46784732	0.525	0.015	Leydig	1.508457762	2.04098656
Aldh1a7	4.2104E-238	1.430556068	0.503	0.008	Leydig	1.455973347	2.019649474
Ggh	1.2446E-237	1.669183589	0.653	0.058	Leydig	1.821845533	2.190450155
Tmem35	5.0052E-235	1.483375718	0.564	0.013	Leydig	1.543794307	2.019224632
Uqcr10	3.2971E-234	1.370034893	0.892	0.503	Leydig	2.508898002	2.614652904
Sc5d	8.2383E-226	1.511118667	0.583	0.054	Leydig	1.619972591	2.073705774
Dhcr24	3.2576E-213	1.560131838	0.618	0.028	Leydig	1.705358985	2.114922702
Serpina3c	1.172E-204	1.257611211	0.471	0.008	Leydig	1.293483029	1.888987321
Ass1	5.5493E-202	1.530441343	0.468	0.012	Leydig	1.578304038	2.221030339
Echs1	2.4329E-201	1.44985583	0.662	0.045	Leydig	1.665033894	2.01089349
Tmem164	2.8175E-199	0.991615581	0.408	0.004	Leydig	1.004974485	1.657925942
Slc25a3	1.1428E-195	1.421175648	0.809	0.395	Leydig	2.314997755	2.508003553
Cmbl	1.9159E-193	1.153876115	0.436	0.006	Leydig	1.182165805	1.821824931
Bpifb5	1.9414E-192	1.057764041	0.366	0.003	Leydig	1.064259199	1.82200598
Adh1	5.6584E-190	1.414561347	0.411	0.005	Leydig	1.439532467	2.178689527
Lrg1	3.1917E-188	1.194354994	0.318	0.001	Leydig	1.196869541	2.110526195
9230104L09Rik	3.7593E-188	1.793885986	0.318	0.002	Leydig	1.797834742	2.822259839
Phyh	6.3562E-186	1.371030039	0.545	0.022	Leydig	1.473309451	1.970816204
Prdx3	8.5265E-182	1.245778599	0.545	0.023	Leydig	1.36153875	1.845169651
Sod1	2.9539E-175	1.263822897	0.943	0.588	Leydig	2.902456733	2.958338846
Hsd17b12	1.664E-173	1.4327723	0.618	0.053	Leydig	1.637951034	2.042297479
Hsd17b10	7.0805E-172	1.337385165	0.576	0.036	Leydig	1.507092923	1.959446662
Oxtr	8.5079E-172	0.961176013	0.306	0.001	Leydig	0.966461535	1.844820885
Fdxr	7.6141E-170	1.453093933	0.57	0.058	Leydig	1.629888777	2.103887785
Tspan8	4.9145E-163	1.088670494	0.376	0.008	Leydig	1.111284234	1.860015813
Ech1	5.9597E-163	1.271392674	0.694	0.263	Leydig	1.783936669	2.096113341
Ndufc2	2.5977E-162	1.424697269	0.777	0.276	Leydig	2.202574055	2.429852385
Klk1b22	6.2993E-162	1.32423181	0.293	0.001	Leydig	1.328789556	2.349107051
Adh5	2.3882E-159	1.424115371	0.615	0.055	Leydig	1.679349115	2.091472717
Fabp3-ps1	1.1522E-158	1.168675215	0.468	0.037	Leydig	1.246562033	1.839584107
Efnb1	1.9102E-154	1.207695403	0.452	0.017	Leydig	1.280285596	1.908673537
Hmgcs1	2.0735E-154	1.449487416	0.589	0.129	Leydig	1.7369309	2.190888472
Scd1	1.139E-153	0.865764753	0.318	0.003	Leydig	0.87619792	1.68667616
Slc7a8	1.4617E-152	0.967952957	0.385	0.008	Leydig	1.000561238	1.697993049
Chchd2	3.9919E-152	1.144545304	0.949	0.602	Leydig	2.961188073	3.010846769
Hist1h2bc	4.9878E-149	1.329276357	0.557	0.049	Leydig	1.542634951	2.027806683
0610011F06Rik	5.3847E-145	1.328771809	0.573	0.079	Leydig	1.558529514	2.020866082
Fads2	1.1514E-144	0.86630752	0.347	0.006	Leydig	0.890795919	1.637016554
Kcnk1	2.9226E-142	0.696148757	0.252	0.001	Leydig	0.699402118	1.61433832
Ddrgk1	2.8071E-141	1.25076449	0.656	0.226	Leydig	1.737396355	2.096476482
Cox6c	3.6546E-138	1.048392177	0.949	0.635	Leydig	2.968125245	3.017802222
Gm11744	1.0159E-135	1.034084709	0.433	0.02	Leydig	1.136132312	1.771975947
Kit	1.9414E-134	1.256569976	0.465	0.032	Leydig	1.384424932	2.006331403
Fkbp2	1.148E-131	1.22992992	0.682	0.182	Leydig	1.73952662	2.065394259
Cml1	1.6401E-131	1.010431333	0.347	0.018	Leydig	1.045454729	1.842779886
Snhg11	5.125E-131	1.366957066	0.401	0.019	Leydig	1.457976886	2.221046731
Pkdcc	7.4242E-131	1.070867188	0.427	0.02	Leydig	1.160731402	1.814352947
Gramd1b	9.2994E-131	1.147150855	0.592	0.302	Leydig	1.730899581	2.179602688
Fam195a	9.8688E-129	1.085709453	0.446	0.035	Leydig	1.19645958	1.820893184
Gstk1	4.5305E-128	0.943681835	0.369	0.012	Leydig	0.998660316	1.730125209
Grhpr	1.2675E-126	0.985771408	0.417	0.022	Leydig	1.067983022	1.718647744
Uqcr11	7.3973E-126	1.155647916	0.78	0.357	Leydig	2.087451248	2.307958864
Tcaf1	1.4788E-124	1.082834188	0.354	0.011	Leydig	1.132374884	1.938608599
Tecr	3.641E-123	1.227927341	0.596	0.144	Leydig	1.577248212	2.008297948
Pgbd5	1.0451E-122	1.008290831	0.315	0.007	Leydig	1.042605071	1.920616669
Nsdhl	1.8604E-122	0.932543965	0.369	0.018	Leydig	0.981653885	1.707915657
Aldh1l1	2.5381E-122	1.040140383	0.411	0.031	Leydig	1.125973497	1.803486438
Nr5a1	1.4993E-121	0.918580088	0.382	0.016	Leydig	0.991167866	1.692606657
Eci1	1.1789E-118	1.144771354	0.49	0.043	Leydig	1.329353378	1.896938317
A530020G20Rik	3.2415E-117	0.713822921	0.252	0.002	Leydig	0.72417263	1.65348964
Creb3l1	7.571E-116	0.778046205	0.315	0.008	Leydig	0.811536241	1.603213096
Scpep1	2.841E-114	1.058302052	0.484	0.071	Leydig	1.235504884	1.798530454
Retsat	2.5855E-112	0.830716765	0.325	0.013	Leydig	0.869548735	1.661308045
S100a1	1.06E-108	0.894766297	0.382	0.021	Leydig	1.003105695	1.708069013
Cox14	2.8966E-106	1.152124494	0.618	0.145	Leydig	1.612141169	2.014387323
Aldoc	2.899E-106	0.78688043	0.315	0.012	Leydig	0.826671573	1.624892144
Apln	3.1384E-104	0.813953871	0.236	0.003	Leydig	0.827339053	1.865939868
Acot1	8.7078E-104	1.081518866	0.213	0.003	Leydig	1.091831066	2.330016868
Grb14	1.3576E-103	0.781048745	0.331	0.014	Leydig	0.846148412	1.612941361
Ebp	1.593E-103	0.906445571	0.373	0.021	Leydig	1.003602624	1.729491531
Hacd2	3.4573E-103	1.050150991	0.78	0.425	Leydig	2.115393189	2.336672392
Rarres1	7.7045E-103	0.858390903	0.274	0.006	Leydig	0.889851183	1.830750819
Romo1	1.412E-102	1.022459441	0.666	0.252	Leydig	1.666085303	2.007863087
Plod2	1.7798E-102	1.074100496	0.43	0.036	Leydig	1.242847282	1.907242478
Tcn2	2.2439E-102	0.750136326	0.306	0.01	Leydig	0.795344528	1.60437109
Tmem205	8.3449E-100	1.190538771	0.72	0.269	Leydig	2.029553033	2.32089204
Rab13	2.2073E-99	1.033955793	0.462	0.063	Leydig	1.237917039	1.84088328
Acad8	1.37413E-97	0.891127208	0.385	0.036	Leydig	0.986646786	1.679979162
Aldh1b1	5.93972E-96	0.799520431	0.338	0.018	Leydig	0.878873416	1.643146617
1500011K16Rik	8.01634E-95	0.931938214	0.446	0.055	Leydig	1.121350066	1.729965562
Hacd3	3.05899E-94	1.052300308	0.538	0.127	Leydig	1.359393772	1.852651613
Psmb3	4.96434E-94	1.0592013	0.701	0.282	Leydig	1.821631712	2.127759913
Ivd	7.18637E-94	0.890812934	0.436	0.054	Leydig	1.076723382	1.692872521
Cnih1	2.9463E-93	0.913821675	0.468	0.056	Leydig	1.1475829	1.721646554
Jtb	5.48068E-93	1.001650223	0.506	0.08	Leydig	1.299017402	1.834870766
Enpp5	5.3162E-92	0.816269307	0.338	0.02	Leydig	0.899935278	1.672085601
Slc48a1	1.86016E-91	0.791221059	0.338	0.02	Leydig	0.87714194	1.640757357
Mut	2.51628E-91	0.96711947	0.401	0.06	Leydig	1.102260322	1.793666015
Tkt	3.10942E-91	0.8826718	0.408	0.051	Leydig	1.01355022	1.668863094
Ndufb9	3.26474E-91	0.940175181	0.806	0.485	Leydig	2.206943091	2.401338283
Tm7sf2	5.25969E-90	0.729828124	0.268	0.012	Leydig	0.759741061	1.658783249
Vstm4	6.81226E-89	0.713266172	0.29	0.012	Leydig	0.763012176	1.599374731
Erlec1	3.61639E-88	0.932383992	0.65	0.364	Leydig	1.724436559	2.091221706
Ebpl	1.10849E-87	0.922672066	0.398	0.037	Leydig	1.097687092	1.794593938
Abhd4	2.28439E-87	0.984720834	0.592	0.23	Leydig	1.469410269	1.89458023
Atp5h	1.48698E-85	0.801701218	0.834	0.62	Leydig	2.258578019	2.422169446
Snx10	3.12188E-85	0.861336105	0.369	0.033	Leydig	0.990660764	1.719692583
Atp5j2	7.05419E-83	0.885904163	0.78	0.504	Leydig	2.078873267	2.299139531
Decr1	7.36497E-83	0.914789892	0.417	0.083	Leydig	1.089583604	1.745586642
Acot13	8.44558E-83	0.803646283	0.338	0.026	Leydig	0.908094587	1.683235887
Txndc5	1.68889E-82	0.749264879	0.347	0.028	Leydig	0.879991994	1.622229959
Dap	4.59145E-81	0.864430055	0.497	0.259	Leydig	1.338795783	1.896866547
Atp5j	2.62353E-79	0.825980535	0.847	0.59	Leydig	2.414632792	2.56676896
Acly	9.82682E-79	0.851179056	0.401	0.052	Leydig	1.030320162	1.703038567
Cope	2.36643E-78	0.873162671	0.554	0.221	Leydig	1.348946793	1.816318076
Tmem14c	4.37392E-78	0.844502118	0.433	0.059	Leydig	1.101927236	1.729998605
Lonp1	3.39498E-77	0.857295793	0.389	0.053	Leydig	1.030885396	1.730223727
Rasd1	7.12307E-77	0.867595452	0.296	0.019	Leydig	0.972596665	1.879987298
Suclg2	8.04761E-76	0.752682294	0.35	0.036	Leydig	0.884625618	1.621244874
C7	8.29609E-76	0.879082635	0.309	0.066	Leydig	0.997015174	1.877332648
Slc22a5	1.25955E-75	0.756987905	0.315	0.048	Leydig	0.842770066	1.647797341
Mcee	4.10434E-75	0.770350752	0.315	0.024	Leydig	0.881835435	1.702750229
Ndufs8	8.09084E-75	0.904868321	0.611	0.233	Leydig	1.477712623	1.876784437
Prnp	1.76894E-74	0.727356742	0.341	0.035	Leydig	0.883421364	1.641836328
Psen2	2.51514E-74	0.761009517	0.277	0.016	Leydig	0.832021044	1.737758165
Hist1h1c	8.2496E-74	0.698016912	0.268	0.015	Leydig	0.763937795	1.665160578
Ndufb6	8.45631E-74	0.90843591	0.678	0.337	Leydig	1.729123329	2.058456023
Atp5a1	1.88697E-73	0.868077185	0.723	0.414	Leydig	1.885747074	2.167245097
Smim4	2.35566E-73	0.770386072	0.373	0.054	Leydig	0.929383187	1.631993828
Etfdh	5.51599E-73	0.81227182	0.341	0.046	Leydig	0.92468117	1.698123313
Atp5b	3.2452E-72	0.768303028	0.793	0.573	Leydig	2.165641224	2.373556269
Scap	8.98701E-72	0.740907271	0.341	0.034	Leydig	0.887044385	1.646813093
Cyb5b	1.27101E-71	0.834092626	0.439	0.117	Leydig	1.059122209	1.665140335
Elovl6	5.45475E-71	0.88399321	0.331	0.084	Leydig	1.054250757	1.893929493
Rabep2	1.34328E-70	0.744997962	0.331	0.059	Leydig	0.848598587	1.616375878
Trp53i11	1.54582E-70	0.720193773	0.299	0.083	Leydig	0.841503962	1.688040522
Idh3g	1.90563E-70	0.797208493	0.363	0.043	Leydig	0.971125482	1.708325956
Ggct	7.11363E-70	0.875678576	0.462	0.21	Leydig	1.279121236	1.889525233
Acadvl	1.13966E-69	0.827413553	0.392	0.072	Leydig	1.017334764	1.706174131
Alg5	7.72888E-69	0.812930094	0.338	0.043	Leydig	0.940646655	1.727395586
H13	1.77631E-68	0.831359936	0.522	0.247	Leydig	1.307022481	1.818115031
Tmed10	2.42467E-68	0.843833273	0.627	0.343	Leydig	1.62514168	2.015139554
Gbas	3.00914E-68	0.74536351	0.347	0.041	Leydig	0.909193477	1.662062357
Commd6	3.54993E-68	0.889326759	0.443	0.103	Leydig	1.162898974	1.78640582
Acaa1a	3.88144E-68	0.722016952	0.354	0.047	Leydig	0.873084172	1.598213227
Hsd17b7	1.80986E-67	0.71719208	0.258	0.016	Leydig	0.77711121	1.714812598
Acat2	2.62162E-67	0.763422862	0.277	0.029	Leydig	0.838506452	1.747206315
Gadd45g	3.14372E-67	1.002645386	0.334	0.036	Leydig	1.204440439	2.077244176
Fdps	6.40794E-67	0.731920943	0.309	0.054	Leydig	0.833282521	1.650777153
Rps27l	6.72655E-67	0.892580472	0.761	0.475	Leydig	2.143143159	2.387658633
Dbt	8.10403E-67	0.738782434	0.315	0.031	Leydig	0.855368364	1.665615021
Lss	2.71622E-66	0.742900408	0.283	0.032	Leydig	0.817840202	1.698392516
Hint1	7.10206E-66	0.739804902	0.812	0.58	Leydig	2.224359732	2.411961242
Cox17	2.15346E-65	0.843843962	0.621	0.329	Leydig	1.600637311	1.997482887
Aldh9a1	2.84358E-65	0.847216442	0.541	0.224	Leydig	1.36151743	1.850086216
Qsox1	3.78546E-65	0.890124681	0.446	0.145	Leydig	1.205983885	1.83232282
Ndufa3	1.16843E-64	0.833072422	0.653	0.36	Leydig	1.684403629	2.044206111
Ndufb3	3.48406E-64	0.85948204	0.58	0.293	Leydig	1.531563399	1.981665433
Psmb4	4.13107E-64	0.79431853	0.755	0.432	Leydig	1.879547246	2.122725849
Sdhb	5.05275E-64	0.799992829	0.666	0.43	Leydig	1.744187121	2.091020275
